District,Post,Name,Ward,Party,Affidavit Link
ARARIA(अररिया),वार्ड पार्षद,1,वार्ड पार्षद,अररिया,
KAIMUR (BHABUA)(कैमूर (भभुआ)),वार्ड पार्षद,1,वार्ड पार्षद,कैमूर (भभुआ),
GAYA(गया),वार्ड पार्षद,1,वार्ड पार्षद,गया,
DARBHANGA(दरभंगा),वार्ड पार्षद,1,वार्ड पार्षद,दरभंगा,
PATNA(पटना),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PATNA(पटना),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
PASCHIM CHAMPARAN(पश्चिम चम्पारण),वार्ड पार्षद,1,वार्ड पार्षद,पश्चिम चम्पारण,
VAISHALI(वैशाली),वार्ड पार्षद,1,वार्ड पार्षद,वैशाली,
SARAN(सारण),मुख्य पार्षद,1,मुख्य पार्षद,सारण,
SITAMARHI(सीतामढ़ी),वार्ड पार्षद,1,वार्ड पार्षद,सीतामढ़ी,
ARARIA(अररिया),वार्ड पार्षद,1,वार्ड पार्षद,अररिया,
KAIMUR (BHABUA)(कैमूर (भभुआ)),वार्ड पार्षद,1,वार्ड पार्षद,कैमूर (भभुआ),
GAYA(गया),वार्ड पार्षद,1,वार्ड पार्षद,गया,
DARBHANGA(दरभंगा),वार्ड पार्षद,1,वार्ड पार्षद,दरभंगा,
PATNA(पटना),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PATNA(पटना),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
PASCHIM CHAMPARAN(पश्चिम चम्पारण),वार्ड पार्षद,1,वार्ड पार्षद,पश्चिम चम्पारण,
VAISHALI(वैशाली),वार्ड पार्षद,1,वार्ड पार्षद,वैशाली,
SARAN(सारण),मुख्य पार्षद,1,मुख्य पार्षद,सारण,
SITAMARHI(सीतामढ़ी),वार्ड पार्षद,1,वार्ड पार्षद,सीतामढ़ी,
ARARIA(अररिया),वार्ड पार्षद,1,वार्ड पार्षद,अररिया,
KAIMUR (BHABUA)(कैमूर (भभुआ)),वार्ड पार्षद,1,वार्ड पार्षद,कैमूर (भभुआ),
GAYA(गया),वार्ड पार्षद,1,वार्ड पार्षद,गया,
DARBHANGA(दरभंगा),वार्ड पार्षद,1,वार्ड पार्षद,दरभंगा,
PATNA(पटना),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PATNA(पटना),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,2,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,1,वार्ड पार्षद,पटना,
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,2,वार्ड पार्षद,पटना,
